simulation_id,final_portfolio_value,annual_return,annual_volatility,sharpe_ratio,var_95,cvar_95,weight_aapl,weight_amzn,weight_googl,weight_gs,weight_jpm,weight_meta,weight_msft,weight_nvda,weight_spy,weight_tsla
1,1578765.3717249595,0.48681778254620645,0.2443093035567174,1.9107654753632122,-0.024584149832330062,-0.029344096432741582,0.12522754934343613,0.12061955338380123,0.08906863022592718,0.14731514646911892,0.11801320750658702,0.15478490269421424,0.05002397115076975,0.023582467903789393,0.06973502680425947,0.10162954451809676
2,2155554.4466497917,0.7965044264154801,0.23399765069299702,3.3184283009501128,-0.022506387755761866,-0.02718496850052532,0.024806835210679713,0.16924040150722786,0.15503168312469606,0.224247749593856,0.1518576179628155,0.04726927249471194,0.003323524621469996,0.05663192624799717,0.06898760022037544,0.0986033890161704
3,2122721.2259754227,0.7835930675478453,0.24432876996034245,3.1252687420797223,-0.02273504739356435,-0.027325146845783757,0.1002139322770813,0.017323185895771864,0.10021214000673226,0.12479375855535849,0.15699482213757526,0.07371393737821959,0.2003832207025187,0.18959887109108253,0.012181853206738565,0.024584278748921343
4,631886.510497527,-0.43101003039994207,0.23476924245796235,-1.9210780154930205,-0.026284775024579266,-0.03281339486574811,0.15869927253146887,0.14841119004173,0.07726544534518727,0.15697633481853748,0.1234535182866697,0.08348339234469716,0.04426229242644856,0.0882166673133202,0.09416378990735857,0.025068096984582063
5,1526881.4839951938,0.4567609932391664,0.25783135252123246,1.6939793743788356,-0.024572782676562835,-0.029462097184167344,0.02915563960342922,0.17947994068446285,0.07300841437403709,0.037861733049142095,0.14218846473111313,0.08675037280922687,0.05792117920209898,0.13652328387749815,0.17768780459611386,0.0794231670728777
6,1874498.7203082715,0.6660620751286015,0.27236915479693274,2.3720089582474153,-0.02367828450406473,-0.030248982459012287,0.06314622624178404,0.020710731338587533,0.08084988896384143,0.07912418960384507,0.10086768350682093,0.08439090652925153,0.023309093045783758,0.16140731482603,0.22145608848890402,0.16473787745515178
7,1256618.7682369081,0.2607169906389761,0.2540142078628683,0.9476516792672052,-0.02596910017387249,-0.030042220676748325,0.17266200635167048,0.1024849092705988,0.02813952160096616,0.1468087509084786,0.13992008872468645,0.12708215228496006,0.0468297434114985,0.11337474505638717,0.0999626349362479,0.022735447454505824
8,1270174.6287361088,0.2671408452218028,0.23619844095387754,1.0463271655127564,-0.02428399025556478,-0.0295229193056218,0.12032667984350466,0.09492390501483107,0.049886963613908014,0.03875755481790197,0.1796663633557896,0.06166640304534574,0.0745514877649076,0.12447574205489485,0.1538197935410547,0.1019251069478618
9,1406245.4521525837,0.3817030790811401,0.28459369881842095,1.2709454938140325,-0.026870326829931866,-0.035753467952294574,0.17155759540106966,0.025384984405776356,0.1308888239613585,0.04274584353390443,0.08788477601953389,0.1031156406249057,0.050936001463757964,0.2682260499335351,0.11379032546719037,0.005469959188967991
10,1187240.26285092,0.19510572534764686,0.2163054774452381,0.809529778976486,-0.022091644355934765,-0.028865544842961697,0.11257155278538421,0.10670525090085396,0.13104422610966665,0.07633620047471582,0.1423564643926054,0.10727480678300606,0.09300429536386191,0.09517526812703163,0.11120531020925285,0.024326624853621658
11,1479445.910994501,0.4223193983677032,0.24631116672773745,1.633378639355036,-0.02426090029320311,-0.03118759571471353,0.11274230918205337,0.05699437339737454,0.11592553361536695,0.006867775923388132,0.15159897608046846,0.0996853979644182,0.12131922024570721,0.1446666219004241,0.13935399365070442,0.0508457980400946
12,1331438.826765124,0.3137842040761719,0.23398666509676716,1.2555596018887443,-0.022238824158995304,-0.029931530241509706,0.15797120734388279,0.07235389707528364,0.17315947714074514,0.07716151474747092,0.12292474387130525,0.03732914295542706,0.06358054821774219,0.03850531459581181,0.15986943089583228,0.09714472315649891
13,938148.3500452767,-0.035978005524273965,0.23591073757683018,-0.23728468699328847,-0.024605016803849005,-0.030274754446013193,0.018895735647403825,0.10260125248684183,0.04201735294807894,0.18006458850567275,0.15826574006223262,0.09916121889100457,0.05114471291218844,0.1200288672075168,0.2104913823922733,0.017329148946786797
14,1051003.2279301817,0.07413951340130726,0.22059884316395423,0.24542065871609986,-0.02258182342428087,-0.03095647342632253,0.12700715744511767,0.016012542352657536,0.18018927446707816,0.1625021111625302,0.1739025379891513,0.06770581610204959,0.03780152796975748,0.05232879561487503,0.16127896943035774,0.02127126746642535
15,978237.1800872537,0.009856432255865348,0.25247349132248814,-0.040176763473271426,-0.025727333263344393,-0.031450618974542426,0.20781057409939005,0.010508069628002197,0.07306254607887944,0.00236916234850539,0.07986998976401091,0.2957295693925653,0.04246340912903204,0.05227346328369845,0.22384182386346388,0.01207139241245239
16,1510336.558013129,0.44606753528714593,0.25845974793086457,1.6484870030946357,-0.024853635927674977,-0.031224443456281267,0.1089338899658189,0.1861630171276155,0.09281352335749313,0.09602865378605054,0.07386382102890807,0.19396831273494372,0.008278695469046488,0.02413186448542026,0.14100422505493038,0.0748139969897731
